Title,Company,Location,Salary,Skills,Experience level
Regular/Senior Java Developer,Luxoft Poland,"Kraków, Wrocław",,  JMS   Java   Spring  ,Senior
Senior Java Developer,Luxoft Poland,"Kraków, Wrocław",,  Azure   Agile   Azure  ,Senior
Senior java developer,Luxoft Poland,"Remote, Kraków",,  Agile   BDD   Git  ,Senior
Senior Murex Datamart Developer,Luxoft Poland,Remote,,  Linux   SQL  ,Senior
Senior .NET Developer,Luxoft Poland,Remote,,  C#   MS SQL   SQL  ,Senior
Senior QA Engineer,Luxoft Poland,Remote,,  .NET   Java   Linux  ,Senior
Senior Java Developer,Luxoft Poland,Remote,,  Docker   Java   Kubernetes  ,Senior
Senior DevOps Engineer,Luxoft Poland,Kraków,,  Azure   Azure   Bash  ,Senior
Senior FullStack JavaScript Developer,23Knots,"Remote, Gdańsk, Poznań, Kraków",14 000 - 22 000 PLN,"  Mały zespół, fajna atmosfera.  ",Senior
Senior Test Engineer with Automation skills,Luxoft Poland,Remote,,  SQL  ,Senior
Senior C#/.NET developer,Luxoft Poland,"Remote, Kraków",,  .NET   C#   WCF  ,Senior
Infrastructure & DevOps Engineer ,Zonda Global,"Remote, Katowice, Kraków",,  100% remote work ,Senior
Senior Go Developer,Luxoft Poland,Remote,,  Go   Linux   REST  ,Senior
Senior Integration Engineer,Luxoft Poland,Remote,,  CI   Eclipse   Git  ,Senior
Senior C++ Developer ,Transition Technologies PSC S.A.,"Remote, Białystok, Kielce i 3 więcej",,  Augmented Reality project ,Senior
Murex Senior Tester,Luxoft Poland,Warszawa,,  JIRA   Unix  ,Senior
Senior IT Business Analyst,Luxoft Poland,Remote,,  Agile  ,Senior
Senior Fullstack Python Developer,Sigma IT Poland,"Remote, Wrocław",14 000 - 21 800 PLN,  construction industry ,Senior
Senior DevOps Engineer,Luxoft Poland,Remote,,  Bash   CI   Docker  ,Senior
Senior Java Developer,Luxoft Poland,Remote,,  Hibernate   JPA   JSON  ,Senior
Senior Java Engineer ,Transporeon,Kraków,,  Java   Angular   PostgreSQL  ,Senior
Senior Angular Frontend Developer,Transporeon,Kraków,,  Angular  ,Senior
Senior Interface Analyst,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Katowice, Gdynia",,  XML   SOAP   JSON  ,Senior
Cloud Architect,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Katowice",,  CI   CD   AWS  ,Senior
Koordynator Testów,PKO BP Finat,"Remote, Warszawa, Kraków, Wrocław",,  JIRA  ,Senior
Data Warehouse Developer,ING Bank Śląski,"Remote, Katowice, Warszawa",,  Praca zdalna ,Senior
Principal Software C++ Engineer,Sabre Poland,"Remote, Kraków",,  C   C++   Linux  ,Senior
Senior Framework Developer,Sapiens Software Solutions Poland Sp. z o.o. ,"Remote, Katowice, Gdynia",,  NoSQL   Java   REST  ,Senior
Global Solution Architect,Diebold Nixdorf,"Remote, Katowice",Znamy widełki,  C#   .NET   Angular  ,Senior
Senior Software Engineer / C# / .NET / Cloud (100% remote),Diebold Nixdorf,"Remote, Katowice, Wrocław",Znamy widełki,  C#   .NET   Cloud  ,Senior
Head of IT Architect's Team,Kyndryl,"Remote, Wrocław, Katowice",,  Database   Storage   Cloud  ,Senior
Senior Full Stack Developer - React,Diebold Nixdorf,"Remote, Katowice",,  Azure   .NET Core   React  ,Senior
Engineering Manager,project44,"Remote, Kraków",,  Java   Spring Boot   AWS  ,Senior
